gene_symbol	Degree	MCC_like	MNC_like	Closeness	EPC_surrogate	n_algorithms_top_quartile	network_priority_group
FN1	1	1	1	1	1	5	high_priority_3plus_algorithms
ITGB1	1	1	1	1	1	5	high_priority_3plus_algorithms
SRC	1	1	1	1	1	5	high_priority_3plus_algorithms
ITGB3	1	1	1	1	1	5	high_priority_3plus_algorithms
ACTB	1	1	1	1	1	5	high_priority_3plus_algorithms
COL1A1	1	1	1	1	1	5	high_priority_3plus_algorithms
ITGAV	1	1	1	1	1	5	high_priority_3plus_algorithms
COL1A2	1	1	1	1	1	5	high_priority_3plus_algorithms
ITGA5	1	1	1	1	1	5	high_priority_3plus_algorithms
ITGA2	1	1	1	1	1	5	high_priority_3plus_algorithms
RHOA	1	1	1	1	1	5	high_priority_3plus_algorithms
ITGA1	1	1	1	1	1	5	high_priority_3plus_algorithms
VCL	1	1	1	1	1	5	high_priority_3plus_algorithms
PXN	1	1	1	1	1	5	high_priority_3plus_algorithms
TLN1	1	1	1	1	1	5	high_priority_3plus_algorithms
FLNA	1	1	1	1	1	5	high_priority_3plus_algorithms
PTK2	1	1	1	1	1	5	high_priority_3plus_algorithms
TGFB1	1	0	1	1	1	4	high_priority_3plus_algorithms
COL3A1	1	1	1	0	1	4	high_priority_3plus_algorithms
MMP2	1	0	1	1	1	4	high_priority_3plus_algorithms
THBS1	1	1	1	0	1	4	high_priority_3plus_algorithms
COL6A1	1	1	1	0	1	4	high_priority_3plus_algorithms
JUN	1	0	1	1	0	3	high_priority_3plus_algorithms
FOS	1	0	1	1	0	3	high_priority_3plus_algorithms
CDC42	1	0	1	1	0	3	high_priority_3plus_algorithms
IL6	1	0	1	1	0	3	high_priority_3plus_algorithms
SMAD3	1	0	1	1	0	3	high_priority_3plus_algorithms
COL6A2	0	1	0	0	1	2	moderate_priority_2_algorithms
COL6A3	0	1	0	0	1	2	moderate_priority_2_algorithms
VASP	0	1	0	0	1	2	moderate_priority_2_algorithms
NFKB1	0	0	0	1	0	1	single_algorithm_priority
FLNB	0	1	0	0	0	1	single_algorithm_priority
LAMB1	0	1	0	0	0	1	single_algorithm_priority
SMAD2	0	0	0	1	0	1	single_algorithm_priority
SMAD4	0	0	0	1	0	1	single_algorithm_priority
CAV1	0	0	0	0	0	0	not_prioritized
CCL2	0	0	0	0	0	0	not_prioritized
CXCL8	0	0	0	0	0	0	not_prioritized
POSTN	0	0	0	0	0	0	not_prioritized
LUM	0	0	0	0	0	0	not_prioritized
TIMP1	0	0	0	0	0	0	not_prioritized
DCN	0	0	0	0	0	0	not_prioritized
COL5A1	0	0	0	0	0	0	not_prioritized
COL5A2	0	0	0	0	0	0	not_prioritized
PARVA	0	0	0	0	0	0	not_prioritized
YAP1	0	0	0	0	0	0	not_prioritized
PARVB	0	0	0	0	0	0	not_prioritized
LOX	0	0	0	0	0	0	not_prioritized
ZYX	0	0	0	0	0	0	not_prioritized
SERPINE1	0	0	0	0	0	0	not_prioritized
CFL1	0	0	0	0	0	0	not_prioritized
RELA	0	0	0	0	0	0	not_prioritized
SPARC	0	0	0	0	0	0	not_prioritized
TGFBR2	0	0	0	0	0	0	not_prioritized
ATF3	0	0	0	0	0	0	not_prioritized
TGFBR1	0	0	0	0	0	0	not_prioritized
ACTA2	0	0	0	0	0	0	not_prioritized
NFKBIA	0	0	0	0	0	0	not_prioritized
LAMA2	0	0	0	0	0	0	not_prioritized
MYL9	0	0	0	0	0	0	not_prioritized
RAC1	0	0	0	0	0	0	not_prioritized
FERMT2	0	0	0	0	0	0	not_prioritized
PFN1	0	0	0	0	0	0	not_prioritized
MMP14	0	0	0	0	0	0	not_prioritized
WWTR1	0	0	0	0	0	0	not_prioritized
JUNB	0	0	0	0	0	0	not_prioritized
SRF	0	0	0	0	0	0	not_prioritized
JUND	0	0	0	0	0	0	not_prioritized
FOSL1	0	0	0	0	0	0	not_prioritized
FOSB	0	0	0	0	0	0	not_prioritized
TIMP2	0	0	0	0	0	0	not_prioritized
VCAN	0	0	0	0	0	0	not_prioritized
ROCK1	0	0	0	0	0	0	not_prioritized
FOSL2	0	0	0	0	0	0	not_prioritized
LATS1	0	0	0	0	0	0	not_prioritized
PLOD2	0	0	0	0	0	0	not_prioritized
TEAD4	0	0	0	0	0	0	not_prioritized
ROCK2	0	0	0	0	0	0	not_prioritized
TAGLN	0	0	0	0	0	0	not_prioritized
MRTFA	0	0	0	0	0	0	not_prioritized
THY1	0	0	0	0	0	0	not_prioritized
TEAD1	0	0	0	0	0	0	not_prioritized
LATS2	0	0	0	0	0	0	not_prioritized
MYLK	0	0	0	0	0	0	not_prioritized
LOXL2	0	0	0	0	0	0	not_prioritized
MAFF	0	0	0	0	0	0	not_prioritized
TEAD2	0	0	0	0	0	0	not_prioritized
MAFG	0	0	0	0	0	0	not_prioritized
CNN1	0	0	0	0	0	0	not_prioritized
AMOTL2	0	0	0	0	0	0	not_prioritized
MRTFB	0	0	0	0	0	0	not_prioritized
LMNA	0	0	0	0	0	0	not_prioritized
TEAD3	0	0	0	0	0	0	not_prioritized
LIMD1	0	0	0	0	0	0	not_prioritized
ANKRD1	0	0	0	0	0	0	not_prioritized
CTGF	0	0	0	0	0	0	not_prioritized
CYR61	0	0	0	0	0	0	not_prioritized
