gsm	title	disease_group	donor_id	region	n_cells_qc	median_n_count	median_n_feature	n_stromal_candidate	stromal_fraction	n_stromal_enriched_candidate	stromal_enriched_fraction	stromal_enriched_threshold	n_activated_stromal_like	n_quiescent_stromal_like
GSM6556449	Human Control Liver 1, snRNA-seq	Control	Control_1	region_unspecified	49166	3122	1635	0	0	492	0.010006915348004719	0.16504310161824873	0	0
GSM6556450	Human Control Liver 2, snRNA-seq	Control	Control_2	region_unspecified	15494	4898.5	2244	0	0	155	0.010003872466761326	0.23977311916180902	0	0
GSM6556451	Human Control Liver 3, snRNA-seq	Control	Control_3	region_unspecified	18765	1673	885	0	0	188	0.01001865174527045	0.20518110167092293	0	0
GSM6556452	Human NASH Liver 1 R1C1, snRNA-seq	NASH	NASH_1	R1C1	11707	7237	2812	87	0.0074314512684718545	118	0.010079439651490562	0.2416251747553526	6	81
GSM6556453	Human NASH Liver 1 R1C2, snRNA-seq	NASH	NASH_1	R1C2	17887	3892	1806	68	0.003801643651814167	179	0.01000726784815788	0.2319722993922686	12	56
GSM6556454	Human NASH Liver 2 R1C2, snRNA-seq	NASH	NASH_2	R1C2	6097	4194	2067	43	0.00705264884369362	61	0.010004920452681646	0.2177164152453771	17	26
GSM6556455	Human NASH Liver 2 R2C1, snRNA-seq	NASH	NASH_2	R2C1	6756	3679.5	1886.5	68	0.010065127294256957	68	0.010065127294256957	0.23592323040948546	27	41
GSM6556456	Human NASH Liver 3 R4C1, snRNA-seq	NASH	NASH_3	R4C1	4536	2147.5	1426	19	0.004188712522045855	46	0.010141093474426807	0.21146252964834025	10	9
GSM6556457	Human NASH Liver 3 R5C2, snRNA-seq	NASH	NASH_3	R5C2	5646	1228	819	0	0	57	0.010095642933049946	0.20773151986029398	0	0
GSM6556458	Human NASH Liver 3 R6C1, snRNA-seq	NASH	NASH_3	R6C1	6957	1512	1002	0	0	70	0.010061808250682766	0.226206616832349	0	0
GSM6556459	Human NASH Liver 4 R4C1, snRNA-seq	NASH	NASH_4	R4C1	3788	2314.5	1338	0	0	38	0.01003167898627244	0.2378684591190745	0	0
GSM6556460	Human NASH Liver 4 R6C1, snRNA-seq	NASH	NASH_4	R6C1	3776	1646	1038.5	0	0	38	0.010063559322033898	0.24403705146530086	0	0
GSM6556461	Human NASH Liver 5 R3C8, snRNA-seq	NASH	NASH_5	R3C8	4589	1057	762	0	0	46	0.010023970363913707	0.22550218457854188	0	0
GSM6556462	Human NASH Liver 5 R5C5, snRNA-seq	NASH	NASH_5	R5C5	6660	2004.5	1245.5	0	0	67	0.01006006006006006	0.2526935582081798	0	0
GSM6556463	Human NASH Liver 6, snRNA-seq	NASH	NASH_6	region_unspecified	40950	3058	1603	0	0	410	0.010012210012210013	0.1826693587087273	0	0
GSM6556464	Human NASH Liver 7, snRNA-seq	NASH	NASH_7	region_unspecified	11586	6675.5	2663	0	0	116	0.010012083549110996	0.25870720120173646	0	0
GSM6556465	Human NASH Liver 8, snRNA-seq	NASH	NASH_8	region_unspecified	16792	4748.5	2325	0	0	168	0.010004764173415913	0.24402083471652358	0	0
GSM6556466	Human NASH Liver 9, snRNA-seq	NASH	NASH_9	region_unspecified	19667	4037	2130	0	0	197	0.010016779376620735	0.24166357114727727	0	0
