donor_id	disease_group	n_regions	n_stromal_candidate	primary_score	ecm_excluded_score	structural_ecm_score	hsc_context_score	activated_hsc_score	quiescent_hsc_score	primary_score_z	ecm_excluded_score_z	structural_ecm_score_z	hsc_context_score_z
Control_1	Control	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_2	Control	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_3	Control	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NASH_1	NASH	2	155	0.052467919083623193	0.05298277562867286	0.3083796574074662	0.1182077123393329	0.1861201065103226	0.4908319223562231	-1.1449563582338977	-1.1536661890849846	0.3504733505357493	-0.7242627808834384
NASH_2	NASH	2	111	0.05517867359086412	0.05889209931380461	0.3024079205185391	0.14832666383564796	0.25990175185301934	0.3490325331638161	0.44283943758947314	0.5345159216501989	-1.1280621172682417	1.14096549868958
NASH_3	NASH	3	19	0.055621323462885494	0.05918835393049563	0.310104756968669	0.12317406778412018	0.3836742963259928	0.29818144922520246	0.7021169206444247	0.6191502674347857	0.7775887667324788	-0.4167027178061426
NASH_4	NASH	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NASH_5	NASH	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NASH_6	NASH	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NASH_7	NASH	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NASH_8	NASH	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NASH_9	NASH	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
