gsm	title	disease_group	donor_id	region	n_stromal_enriched_candidate	primary_score	ecm_excluded_score	structural_ecm_score	hsc_context_score	stromal_marker_score	activated_hsc_score	quiescent_hsc_score
GSM6556449	Human Control Liver 1, snRNA-seq	Control	Control_1	region_unspecified	492	0.04882869023678091	0.05238494042723158	0.25024132230181806	0.08507920767047826	0.19175040964234763	0.14665367281995442	0.3195892307770778
GSM6556450	Human Control Liver 2, snRNA-seq	Control	Control_2	region_unspecified	155	0.05605871319293388	0.05909905488056274	0.3221238778402767	0.18978868904324028	0.26193136620202107	0.302411606978383	0.49189516371539854
GSM6556451	Human Control Liver 3, snRNA-seq	Control	Control_3	region_unspecified	188	0.051331369752179584	0.05265088638817791	0.2912819069143425	0.14045070500619278	0.23262139567680062	0.21379033994556063	0.3805930274688448
GSM6556452	Human NASH Liver 1 R1C1, snRNA-seq	NASH	NASH_1	R1C1	118	0.05318387377578636	0.053344042246398625	0.313469287001223	0.11568754927189907	0.2603030806843873	0.20304003536499188	0.5726216114149588
GSM6556453	Human NASH Liver 1 R1C2, snRNA-seq	NASH	NASH_1	R1C2	179	0.052779526829273817	0.053515848928109386	0.30499444089264643	0.10270255276713874	0.25475062059666	0.17343486815705075	0.48377652070381677
GSM6556454	Human NASH Liver 2 R1C2, snRNA-seq	NASH	NASH_2	R1C2	61	0.05457411653858984	0.05740078087895525	0.30558321896862317	0.13979856467048954	0.24707328379700305	0.24354980934891388	0.3560104501050101
GSM6556455	Human NASH Liver 2 R2C1, snRNA-seq	NASH	NASH_2	R2C1	68	0.05422128892892967	0.057427296423152543	0.29849511330334977	0.15425610680990406	0.26009906226335255	0.2866768967135777	0.3819875352631838
GSM6556456	Human NASH Liver 3 R4C1, snRNA-seq	NASH	NASH_3	R4C1	46	0.054253326397114894	0.05698582687270993	0.3073231208796269	0.11998086011228969	0.2602187163322188	0.3181349837342996	0.3329975230592377
GSM6556457	Human NASH Liver 3 R5C2, snRNA-seq	NASH	NASH_3	R5C2	57	0.05239229346285575	0.05489432763957791	0.2715929870985396	0.08845003533836894	0.24019070261267367	0.2765740146184251	0.3496594190953127
GSM6556458	Human NASH Liver 3 R6C1, snRNA-seq	NASH	NASH_3	R6C1	70	0.05033521542729796	0.0508403860135399	0.2823558219673387	0.13179857843768203	0.25062523707155404	0.2535109754154231	0.3959800393376065
GSM6556459	Human NASH Liver 4 R4C1, snRNA-seq	NASH	NASH_4	R4C1	38	0.05148708646770138	0.05246288015472212	0.2948412813592467	0.119064062509669	0.25542835141053094	0.2554739457926524	0.41473176683039664
GSM6556460	Human NASH Liver 4 R6C1, snRNA-seq	NASH	NASH_4	R6C1	38	0.05066920023990053	0.04904659863388287	0.3010636361932882	0.090234249419257	0.2619901720466675	0.1974326616866682	0.43272455140117017
GSM6556461	Human NASH Liver 5 R3C8, snRNA-seq	NASH	NASH_5	R3C8	46	0.05400645864548389	0.05774093036345121	0.2870983169362982	0.15914475240983586	0.2605957392350319	0.3150805585643991	0.36245152966047
GSM6556462	Human NASH Liver 5 R5C5, snRNA-seq	NASH	NASH_5	R5C5	67	0.0547180264373145	0.05833710806484741	0.30219343252645664	0.18272341322572702	0.28227034321283295	0.43118459469568154	0.39295160747920205
GSM6556463	Human NASH Liver 6, snRNA-seq	NASH	NASH_6	region_unspecified	410	0.048793248199134	0.051679333821821334	0.2532299043554346	0.0814180330718817	0.20393717660209174	0.17416804039269662	0.2990709559500705
GSM6556464	Human NASH Liver 7, snRNA-seq	NASH	NASH_7	region_unspecified	116	0.057528854214180046	0.061122573403600985	0.32605450560070653	0.24159030757009245	0.28603973930593524	0.3577077206546865	0.5542970742511948
GSM6556465	Human NASH Liver 8, snRNA-seq	NASH	NASH_8	region_unspecified	168	0.053261009282233124	0.054193320828848424	0.3085164299176027	0.1934588461582211	0.26067669872131505	0.35161781367120654	0.5198751373543408
GSM6556466	Human NASH Liver 9, snRNA-seq	NASH	NASH_9	region_unspecified	197	0.052743280256175584	0.054364227030482916	0.30447009613950154	0.25047111593485266	0.2642062506869131	0.37243998726019156	0.36934978709553057
