gsm	slide_id	niche	n_cells	mean_primary_score_z	mean_ecm_excluded_score_z	mean_structural_ecm_score_z	mean_hsc_context_score_z	mean_stromal_marker_score_z	mean_stellate_neighbors	median_stellate_neighbors	mean_portal_endothelial_neighbors	mean_periportal_lsec_neighbors	mean_hepatocyte_neighbors
GSM8855042	Slide1	niche1	13883	-0.01636928099913476	0.0012897693915404924	-0.038012424329056896	-0.037331681251632845	-0.06932362669401664	1.6788878484477419	1	0.09299142836562703	0.30022329467694303	3.16156450334942
GSM8855042	Slide1	niche10	1062	-0.5924992069501105	-0.5190648669965773	-0.4840120336739987	0.01127875240070958	-0.34227571913164184	1.0112994350282485	1	0.17890772128060264	2.628060263653484	2.8267419962335216
GSM8855042	Slide1	niche2	2620	0.025060450456161513	-0.011141740264088191	0.07264652882767497	0.03685544039470366	0.27248408940944857	5.38587786259542	5	0.4816793893129771	10.422519083969465	2.2912213740458016
GSM8855042	Slide1	niche3	2786	-0.5013002481294321	-0.4639308562422432	-0.3704759037850457	-0.15778643523768426	-0.2892044471625459	1.5226130653266332	1	0.11486001435750179	2.209260588657574	3.9045226130653266
GSM8855042	Slide1	niche4	2790	0.5361754725679857	0.3694341524608444	0.5961003501109631	0.3477583422974912	0.6914313865570402	9.80215053763441	9	1.5308243727598567	1.6842293906810035	1.1340501792114694
GSM8855042	Slide1	niche5	5437	0.30726021134565706	0.17916482542322587	0.39290290766942426	-0.008797915815749655	0.13641395086839275	1.6617620011035497	1	0.10244620194960456	0.26705903991171603	2.9424314879529154
GSM8855042	Slide1	niche6	11611	-0.11898067706440284	-0.0748102308586785	-0.14358078900688434	-0.0672460038780419	-0.10870099440628221	1.7827921798294721	2	0.047713375247610025	0.8050986133838601	2.9409180949099993
GSM8855042	Slide1	niche7	201	-0.423272934204544	-0.27088248345822896	-0.5033064280033405	0.36966145493756003	-0.27548263699499237	0.4925373134328358	0	0.4925373134328358	1.8208955223880596	1.0796019900497513
GSM8855042	Slide1	niche8	7461	0.6324801796836876	0.6240025516503187	0.4064593989288843	0.30827110467923247	0.32117865716151683	3.177456105079748	2	0.4063798418442568	0.12746280659429032	1.8182549256131886
GSM8855042	Slide1	niche9	909	0.6431570265727342	0.8153316760349515	0.12830500065166253	0.3902028023998701	0.29394213074506637	4.301430143014302	4	0.5808580858085809	2.6523652365236523	0.40594059405940597
GSM8855043	Slide2	niche1	6902	0.2357220619321261	0.0847569085504588	0.3619347072746368	0.26474204360959863	0.4259309203301175	7.790205737467401	7	0.5170964937699217	4.802955665024631	2.3891625615763545
GSM8855043	Slide2	niche10	885	-0.1131494807627343	0.04663007842509506	-0.295498565329	0.047797899647471394	-0.19118257985555362	6.524293785310735	6	0.0768361581920904	3.5638418079096046	0.24858757062146894
GSM8855043	Slide2	niche2	16753	-0.0073110781619822205	0.01675078457302568	-0.03825168657319712	-0.08004712766058159	-0.08182570176793245	1.7934101354981198	1	0.26353488927356294	0.5256371993075867	2.6462723094371157
GSM8855043	Slide2	niche3	3896	0.011519102018051956	-0.07332508836977127	0.1257192775375267	-0.12566153706714395	-0.0980624479035088	1.0354209445585216	1	0.1234599589322382	0.30646817248459957	3.090349075975359
GSM8855043	Slide2	niche4	11805	-0.12666452513552712	-0.057017971315077944	-0.17848313834839805	-0.15357322912063054	-0.198979242914907	1.3549343498517576	1	0.1705209656925032	0.17958492164337145	2.423379923761118
GSM8855043	Slide2	niche5	2450	0.15737094232630552	0.21496839185986658	0.020756112886163712	0.15119914700132545	0.14668871756674642	8.04734693877551	8	0.4583673469387755	6.786938775510204	0.9955102040816326
GSM8855043	Slide2	niche6	1285	-0.2615665753532485	-0.25758349888579357	-0.17355889606953528	0.07840718259028984	-0.10174885576434517	2.4894941634241246	2	0.354863813229572	1.8280155642023346	2.4832684824902724
GSM8855043	Slide2	niche7	816	0.2069171015399437	0.3588824122602053	-0.07902229696293736	0.08797567225861526	0.03675779252751647	4.860294117647059	5	0.20220588235294118	4.450980392156863	0.8725490196078431
GSM8855043	Slide2	niche8	4272	0.2819470873876726	0.23765892138683184	0.24285728254851038	0.4101656490381576	0.3257489419184672	8.262640449438202	8	0.42485955056179775	5.882958801498128	1.7497659176029963
GSM8855043	Slide2	niche9	1930	0.1092312975112016	0.07431013769605181	0.11885902918528392	0.09756787877540235	0.26829995469667656	10.32642487046632	10	0.12694300518134716	6.822279792746114	0.9487046632124352
